Week1,Week2,Week3,Week4,HB,HDA,HDS,HTA,HBM,HBP,HMG,HGP,Inflasi,Target
22,20,28,16,12.6,40.65,128.75,26.5,29.25,20,12.6,11.9,0.19,3
20,28,16,3,12.6,45,128.75,26.65,31.25,20,12.5,11.9,0.7,11
28,16,3,11,12.6,45.5,128.75,25.65,33.25,19.5,12.4,12,0.7,22
16,3,11,22,12.6,44.65,128.75,25.55,31.5,19.25,12.35,12,0.7,18
3,11,22,18,12.6,41.2,128.75,25.65,29.7,19.25,12.35,12.1,0.7,22
11,22,18,22,12.6,39.55,128.75,25.35,28.85,18.75,12.35,12.1,0.82,26
22,18,22,26,12.45,38.25,128.75,24.7,25.2,19.25,12.25,11.9,0.82,21
18,22,26,21,12.45,38,128.75,24.75,24.8,20,12.15,11.95,0.82,14
22,26,21,14,12.45,36.9,128.75,24.05,24.6,21.5,12.15,11.95,0.82,10
26,21,14,10,12.45,34.5,128.75,23.65,24.35,22.2,12.15,11.95,-0.07,25
21,14,10,25,12.45,34.25,128.75,23.65,24.75,22.5,12.15,12.05,-0.07,22
14,10,25,22,12.45,36.3,128.75,23.65,28.25,26.65,12.15,12.25,-0.07,27
10,25,22,27,12.45,37.7,128.75,23.65,32,28.9,12.15,12.3,-0.07,12
25,22,27,12,12.45,37.7,128.75,24.45,32.25,29.5,12.15,12.35,0.27,28
22,27,12,28,12.5,37.2,128.75,24.65,32.25,36.5,12.15,12.35,0.27,20
27,12,28,20,12.5,34.75,128.75,24.65,35.95,39.95,12.15,12.35,0.27,1
12,28,20,1,12.5,35.1,128.75,24.65,40.85,50,12.15,12.35,0.27,26
28,20,1,26,12.5,38.5,128.75,24.45,40.75,50,12.15,12.35,0.27,22
20,1,26,22,12.5,40.3,128.75,24.2,39.15,50,12,13.25,0.97,14
1,26,22,14,12.5,41.15,128.75,24.65,35,61.25,12,13.85,0.97,15
26,22,14,15,13,38.55,128.75,24.65,34.25,52.5,12,13.9,0.97,19
22,14,15,19,13,37.8,128.75,23.45,30.5,37.5,12,13.9,0.97,4
14,15,19,4,13.15,39.55,128.75,22.9,31.25,38.15,12,13.7,0.9,2
15,19,4,2,13.15,44,128.75,22.9,45,38.75,12,13.65,0.9,21
19,4,2,21,13.15,42,129.25,22.9,46.25,40.3,12,13.55,0.9,22
4,2,21,22,13.15,34.15,129.4,22.9,40.2,39.05,12,13.5,0.9,16
2,21,22,16,13.15,34.25,129.4,22.65,37.5,37.5,12,13.45,0.29,30
